iter	Logloss
0	0.6931471806
1	0.6111569818
2	0.5934952964
3	0.5262309637
4	0.4788074699
5	0.4787740983
6	0.4787459636
7	0.4658926334
8	0.4658877
9	0.454643186
10	0.4447678506
11	0.4070205317
12	0.3960541972
13	0.3571867471
14	0.3235941811
15	0.2944456902
16	0.2690495985
17	0.2468306104
18	0.2310758198
19	0.2134133585
20	0.1977819286
21	0.1864903206
22	0.1738248998
23	0.1669901385
24	0.1606045612
25	0.1506166383
26	0.1434030126
27	0.1350881199
28	0.1275477828
29	0.1206887951
30	0.1157333285
31	0.1098977485
32	0.1045477061
33	0.1006866069
34	0.09607196498
35	0.09181210206
36	0.08787077125
37	0.0842162099
38	0.08082050114
39	0.07765903674
40	0.07471006366
41	0.07195430013
42	0.06937460966
43	0.06801810597
44	0.0667105006
45	0.0644533606
46	0.06326951376
47	0.06121497271
48	0.05927787623
49	0.05744901419
50	0.05572007326
51	0.05481623322
52	0.05322715728
53	0.0517202238
54	0.05093385488
55	0.04954232398
56	0.04881702796
57	0.0481117635
